公司,據點,年,月,活動類型,數量,單位,資料來源,備註,設備編號,冷媒種類,補充量
示例股份有限公司,本社廠,2024,1,固定燃燒_鍋爐/發電機_柴油,1265.82,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,1,固定設備_堆高機_LPG,506.6,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,1,自有車輛_汽油,217.38,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,1,自有車輛_柴油,116.99,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,2,固定燃燒_鍋爐/發電機_柴油,1024.13,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,2,固定設備_堆高機_LPG,643.36,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,2,自有車輛_汽油,232.48,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,2,自有車輛_柴油,102.71,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,3,固定燃燒_鍋爐/發電機_柴油,1480.06,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,3,固定設備_堆高機_LPG,594.1,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,3,自有車輛_汽油,291.32,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,3,自有車輛_柴油,106.74,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,4,固定燃燒_鍋爐/發電機_柴油,1543.48,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,4,固定設備_堆高機_LPG,455.48,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,4,自有車輛_汽油,285.22,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,4,自有車輛_柴油,150.89,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,5,固定燃燒_鍋爐/發電機_柴油,846.0,L,燃料請購/加油卡彙總,模擬資料（依物流量與人數換算）,,,
示例股份有限公司,本社廠,2024,5,固定設備_堆高機_LPG,583.37,kg,鋼瓶更換紀錄,模擬資料（依出貨頻次換算）,,,
示例股份有限公司,本社廠,2024,5,自有車輛_汽油,284.46,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
示例股份有限公司,本社廠,2024,5,自有車輛_柴油,151.71,L,公司車加油卡,模擬資料（依車隊4台估算）,,,
