公司,據點,電表編號,年,月,用電量,單位,再生電比例(%),資料來源,備註
示例股份有限公司,本社廠,本社廠-M1,2024,1,36745.35,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,2,46609.61,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,3,36410.99,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,4,45808.58,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,5,32427.17,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,6,37931.84,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,7,38742.15,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,8,39046.25,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,9,38385.78,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,10,38288.25,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,11,33887.27,kWh,0,電費帳單,模擬資料（依產能換算）
示例股份有限公司,本社廠,本社廠-M1,2024,12,34456.01,kWh,0,電費帳單,模擬資料（依產能換算）
