年,月,供應商,材料名稱,數量,單位,金額,資料來源,備註,項目,據點,用電量(kWh),T&D損失比例(%),上游燃料排放估比(gCO2e/kWh),運輸類型,運具,距離(km),重量(kg),裝載率(%),廢棄物類別,數量(kg),處理方式,交通工具,夜宿(晚),交通方式,通勤人數,每人每日單趟距離(km),每月上班天數
2024,1,華亞材料股份有限公司01,材料-1,603.0,kg,1929.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,2,華亞材料股份有限公司01,材料-1,477.0,kg,1527.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,3,華亞材料股份有限公司01,材料-1,346.9,kg,1110.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,4,華亞材料股份有限公司01,材料-1,364.0,kg,1165.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,5,華亞材料股份有限公司01,材料-1,389.7,kg,1247.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,6,華亞材料股份有限公司01,材料-1,559.7,kg,1791.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,7,華亞材料股份有限公司01,材料-1,517.1,kg,1655.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,8,華亞材料股份有限公司01,材料-1,582.9,kg,1865.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,9,華亞材料股份有限公司01,材料-1,448.7,kg,1436.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,10,華亞材料股份有限公司01,材料-1,519.0,kg,1661.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,11,華亞材料股份有限公司01,材料-1,575.1,kg,1840.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
2024,12,華亞材料股份有限公司01,材料-1,462.9,kg,1481.0,採購/驗收單,模擬資料（依供應商數量估算）,,,,,,,,,,,,,,,,,,,
